% 1. Title: Classification
% 2. Sources:
% (a) Creator: Nuria Rodriguez, Eva Valls

@RELATION genre
@ATTRIBUTE the STRING
@ATTRIBUTE to STRING
@ATTRIBUTE and STRING
@ATTRIBUTE a STRING
@ATTRIBUTE of STRING
@ATTRIBUTE class {female,male}
@DATA
33,17,23,36,20,male
38,26,25,24,16,male
12,9,7,7,15,female
29,9,8,10,13,female
51,32,34,40,31,male
8,4,1,?,2,female
106,48,47,27,43,male
23,18,21,7,18,female
60,17,22,17,28,female
17,11,10,5,7,female
24,14,12,25,6,male
4,3,3,1,1,female
29,20,18,13,10,female
51,36,49,15,27,male
75,23,38,43,39,male
24,23,10,8,11,female
27,18,11,13,18,female
22,16,11,16,7,male
44,21,34,17,21,male
38,26,24,18,15,male
22,12,12,10,13,female
42,39,29,45,15,male
76,28,20,29,32,female
29,18,19,9,9,female
28,15,10,5,8,female
47,19,36,21,22,male
41,7,8,15,21,male
27,26,8,13,7,male
51,30,28,30,23,female
51,21,45,16,23,female
50,21,22,17,20,female
30,18,8,9,22,female
58,36,20,22,19,female
24,19,13,11,14,female
26,15,12,20,12,female
40,14,18,15,11,male
34,18,15,12,16,female
51,28,26,20,24,female
84,55,49,48,23,male
36,26,24,36,9,male
64,11,14,13,16,male
46,15,21,16,25,male
28,12,8,9,17,male
37,34,27,20,19,female
33,18,23,17,18,male
12,2,6,3,8,male
43,27,25,23,11,female
62,25,29,24,27,male
17,16,14,10,7,female
46,37,37,21,20,male
20,9,8,17,11,female
18,24,9,7,8,male
58,31,24,16,29,female
37,10,24,24,13,male
73,64,76,54,32,male
72,98,64,77,32,male
27,17,11,8,15,female
60,44,26,31,27,female
88,70,58,49,29,male
39,23,31,22,36,male
27,13,12,8,14,female
76,22,28,34,38,male
85,44,51,38,36,male
253,101,58,59,94,female
24,17,11,11,11,female
24,14,23,16,7,male
32,21,25,10,12,female
48,23,32,25,13,female
38,19,30,12,21,female
35,15,8,11,12,female
8,9,7,16,8,female
52,13,14,14,26,female
24,19,28,17,16,male
31,17,27,16,21,male
15,17,3,5,7,male
20,12,6,3,6,male
53,26,15,33,14,female
42,18,24,23,18,male
33,9,14,33,18,male
15,28,24,14,12,female
47,38,31,25,25,male
31,13,14,15,22,female
17,10,2,9,13,female
29,23,17,20,5,female
28,23,18,21,13,female
21,16,9,24,20,male
32,17,14,5,11,female
52,30,21,32,19,female
68,45,25,16,17,female
47,31,9,14,13,female
76,54,51,34,39,female
59,58,38,50,47,male
3,4,?,3,1,female
91,25,28,41,53,male
49,20,26,25,24,male
40,10,3,15,15,female
55,26,39,18,27,male
77,14,24,30,26,male
68,27,36,15,26,male
45,45,47,45,23,male
30,8,14,11,8,male
33,27,44,41,22,male
99,28,22,25,32,female
28,23,23,12,22,female
126,54,81,52,49,male
16,8,5,?,8,female
63,28,31,37,21,male
48,18,23,18,22,male
62,30,49,52,27,male
38,24,9,21,16,male
19,9,9,11,9,female
