% 1. Title: Classification
% 2. Sources:
% (a) Creator: Nuria Rodriguez, Eva Valls

@RELATION genre
@ATTRIBUTE the STRING
@ATTRIBUTE to STRING
@ATTRIBUTE and STRING
@ATTRIBUTE a STRING
@ATTRIBUTE of STRING
@ATTRIBUTE class {female,male}
@DATA
51,16,27,13,30,male
26,12,20,13,13,female
42,20,16,23,12,male
30,12,10,7,10,female
13,4,8,3,6,female
65,28,37,22,26,male
48,37,29,23,24,male
33,27,33,29,23,male
66,54,36,21,31,female
46,31,13,11,11,male
29,25,12,7,13,female
19,11,9,5,6,female
84,41,48,56,39,male
38,15,21,26,18,male
11,3,11,4,7,male
58,40,23,13,28,female
54,26,27,15,13,male
65,37,18,19,19,female
42,13,12,25,12,male
16,14,19,19,14,female
45,22,32,17,23,male
36,29,11,19,13,female
50,25,44,30,26,male
45,22,18,5,20,female
48,29,15,15,14,female
37,9,14,7,23,female
19,16,5,8,8,male
41,11,17,9,19,male
10,18,7,7,7,male
57,22,24,13,30,female
8,3,2,8,8,female
36,20,29,15,15,female
102,62,66,63,55,male
17,6,8,10,6,female
25,6,7,7,8,female
41,15,29,12,19,male
18,15,9,7,10,female
20,22,11,9,10,female
83,46,73,66,36,male
112,40,43,45,43,male
43,20,17,12,17,male
12,12,12,12,8,female
46,25,28,51,18,female
54,38,37,30,29,male
91,36,43,20,37,female
2,4,6,?,3,female
38,24,24,16,17,female
19,9,9,11,9,female
66,32,22,23,19,female
50,29,22,16,21,male
49,22,16,24,20,female
30,24,16,10,13,female
54,31,34,22,27,female
45,23,21,13,24,male
59,28,32,14,22,female
51,15,26,23,29,female
44,11,15,11,15,male
32,22,19,14,16,female
72,68,64,71,34,male
47,21,46,23,22,female
76,81,50,62,62,male
34,18,27,18,13,male
64,42,34,40,25,male
43,18,11,22,18,male
35,21,9,12,13,male
35,16,13,16,18,male
57,20,15,18,23,male
18,8,9,11,18,male
38,25,13,21,15,male
20,3,8,1,14,male
44,15,19,18,20,female
18,6,8,8,8,female
44,26,29,14,29,male
37,22,21,23,19,male
45,18,25,12,22,female
54,28,25,13,20,male
25,21,6,18,18,female
34,19,11,21,14,male
51,11,15,20,22,male
47,27,15,23,16,female
18,27,22,8,10,female
51,19,42,35,26,male
23,11,10,5,8,male
54,47,44,32,51,male
59,39,34,22,25,male
34,18,17,11,10,female
41,22,30,21,25,female
21,23,13,7,18,female
52,24,13,19,15,female
9,6,5,3,3,male
31,21,24,19,11,female
16,9,7,14,8,female
44,15,19,14,19,female
37,13,24,15,26,male
23,15,4,4,14,female
41,24,20,18,21,male
32,19,22,17,11,male
36,15,9,13,16,male
88,37,30,29,40,female
57,28,25,43,19,female
25,18,11,23,21,female
37,23,18,23,15,male
20,12,8,6,5,male
39,41,23,18,17,female
49,44,22,21,9,female
22,22,15,9,10,female
15,14,10,7,1,male
51,26,23,27,18,female
13,13,9,5,12,female
42,13,25,19,20,male
21,11,11,13,20,female
21,6,9,4,8,female
35,19,22,29,18,male
56,11,14,21,18,male
27,37,16,18,13,female
59,23,28,24,13,male
42,19,18,35,25,male
98,80,107,79,38,male
22,21,18,11,18,female
67,44,36,53,27,male
44,8,21,29,14,male
43,16,7,13,17,male
62,23,21,20,16,male
34,23,10,19,20,male
58,27,34,20,32,female
30,15,16,27,12,male
52,18,16,25,26,female
18,8,8,3,4,female
38,9,18,9,21,male
49,45,53,43,18,male
19,14,14,5,12,female
40,4,13,16,23,female
49,39,23,17,15,female
56,35,20,31,32,female
24,12,11,8,15,female
63,38,23,29,27,male
43,24,20,12,15,female
38,31,37,21,28,male
33,23,19,24,21,female
44,12,19,18,18,female
16,12,12,12,13,male
25,12,22,20,38,male
54,43,29,40,26,male
33,21,18,15,20,male
52,24,59,30,17,male
49,46,47,36,23,male
49,18,18,19,27,male
18,16,5,13,12,female
29,21,21,23,16,female
46,12,25,12,28,male
43,21,23,25,21,male
50,21,26,30,23,male
36,24,25,24,20,male
50,36,20,20,30,female
45,39,42,39,23,male
49,24,21,18,26,female
46,7,21,23,15,male
